arac_sayisi,alpha,talep_faktor,talep_sok_pct,dispatch_kural,n_modu,starv_pct,starv_dk,ort_wip,sefer_sayisi,mesafe_km
1,0.05,0.8,-20,EDD,Dinamik_N,63.6,7327,80.8,8,13.13
2,0.05,0.8,-20,EDD,Dinamik_N,44.26,5099,124.6,16,25.54
3,0.05,0.8,-20,EDD,Dinamik_N,26.86,3094,167.7,24,39.23
4,0.05,0.8,-20,EDD,Dinamik_N,12.54,1445,206.3,31,46.65
5,0.05,0.8,-20,EDD,Dinamik_N,9.36,1078,220.0,63,49.62
6,0.05,0.8,-20,EDD,Dinamik_N,4.58,528,226.8,93,49.49
7,0.05,0.8,-20,EDD,Dinamik_N,3.57,411,228.6,107,48.1
8,0.05,0.8,-20,EDD,Dinamik_N,2.42,279,229.3,114,47.94
1,0.1,0.8,-20,EDD,Dinamik_N,63.59,7325,80.9,8,13.13
2,0.1,0.8,-20,EDD,Dinamik_N,44.24,5097,124.7,16,25.38
3,0.1,0.8,-20,EDD,Dinamik_N,26.92,3101,168.0,24,39.52
4,0.1,0.8,-20,EDD,Dinamik_N,11.26,1297,209.0,31,47.63
5,0.1,0.8,-20,EDD,Dinamik_N,8.27,953,220.8,68,48.63
6,0.1,0.8,-20,EDD,Dinamik_N,5.19,598,225.9,99,48.96
7,0.1,0.8,-20,EDD,Dinamik_N,3.23,372,229.0,111,48.75
8,0.1,0.8,-20,EDD,Dinamik_N,2.6,299,229.9,117,48.83
1,0.15,0.8,-20,EDD,Dinamik_N,63.65,7332,80.8,8,12.46
2,0.15,0.8,-20,EDD,Dinamik_N,44.18,5090,124.8,16,25.69
3,0.15,0.8,-20,EDD,Dinamik_N,26.86,3094,168.4,24,38.77
4,0.15,0.8,-20,EDD,Dinamik_N,13.2,1521,206.3,32,47.31
5,0.15,0.8,-20,EDD,Dinamik_N,9.7,1117,220.0,67,50.23
6,0.15,0.8,-20,EDD,Dinamik_N,4.97,572,227.2,100,47.99
7,0.15,0.8,-20,EDD,Dinamik_N,2.31,266,230.7,117,48.16
8,0.15,0.8,-20,EDD,Dinamik_N,1.71,197,231.0,124,47.72
1,0.2,0.8,-20,EDD,Dinamik_N,63.63,7330,80.9,8,13.03
2,0.2,0.8,-20,EDD,Dinamik_N,44.16,5087,124.9,16,26.92
3,0.2,0.8,-20,EDD,Dinamik_N,26.86,3094,168.4,24,39.56
4,0.2,0.8,-20,EDD,Dinamik_N,13.99,1612,204.7,33,47.52
5,0.2,0.8,-20,EDD,Dinamik_N,8.51,980,221.4,67,50.81
6,0.2,0.8,-20,EDD,Dinamik_N,5.03,579,226.2,96,51.01
7,0.2,0.8,-20,EDD,Dinamik_N,2.46,283,230.1,118,50.16
8,0.2,0.8,-20,EDD,Dinamik_N,1.42,164,230.8,126,49.22
1,0.25,0.8,-20,EDD,Dinamik_N,63.62,7329,81.0,8,13.01
2,0.25,0.8,-20,EDD,Dinamik_N,44.13,5084,125.1,16,26.12
3,0.25,0.8,-20,EDD,Dinamik_N,26.39,3040,168.3,24,39.46
4,0.25,0.8,-20,EDD,Dinamik_N,11.15,1285,209.6,33,48.41
5,0.25,0.8,-20,EDD,Dinamik_N,8.99,1036,221.9,68,50.83
6,0.25,0.8,-20,EDD,Dinamik_N,5.02,578,226.9,97,49.67
7,0.25,0.8,-20,EDD,Dinamik_N,3.0,346,229.4,117,49.44
8,0.25,0.8,-20,EDD,Dinamik_N,2.48,286,229.6,124,49.0
1,0.3,0.8,-20,EDD,Dinamik_N,63.59,7326,81.0,8,13.09
2,0.3,0.8,-20,EDD,Dinamik_N,44.09,5079,125.2,16,26.53
3,0.3,0.8,-20,EDD,Dinamik_N,26.98,3108,168.5,24,39.84
4,0.3,0.8,-20,EDD,Dinamik_N,11.28,1300,209.0,33,48.88
5,0.3,0.8,-20,EDD,Dinamik_N,8.84,1018,221.1,65,50.79
6,0.3,0.8,-20,EDD,Dinamik_N,4.57,526,228.0,95,50.26
7,0.3,0.8,-20,EDD,Dinamik_N,3.18,366,229.7,111,50.02
8,0.3,0.8,-20,EDD,Dinamik_N,2.44,281,230.2,121,49.76
1,0.05,0.9,-10,EDD,Dinamik_N,67.34,7758,72.2,8,13.06
2,0.05,0.9,-10,EDD,Dinamik_N,49.64,5719,112.0,16,26.44
3,0.05,0.9,-10,EDD,Dinamik_N,33.45,3853,151.0,24,39.4
4,0.05,0.9,-10,EDD,Dinamik_N,18.5,2131,188.8,32,50.68
5,0.05,0.9,-10,EDD,Dinamik_N,13.61,1568,210.2,52,56.06
6,0.05,0.9,-10,EDD,Dinamik_N,8.95,1031,218.8,83,54.29
7,0.05,0.9,-10,EDD,Dinamik_N,4.95,570,224.0,111,53.78
8,0.05,0.9,-10,EDD,Dinamik_N,3.8,438,225.4,125,53.46
1,0.1,0.9,-10,EDD,Dinamik_N,67.3,7753,72.4,8,12.61
2,0.1,0.9,-10,EDD,Dinamik_N,49.67,5722,112.1,16,25.85
3,0.1,0.9,-10,EDD,Dinamik_N,33.32,3838,151.4,24,39.43
4,0.1,0.9,-10,EDD,Dinamik_N,20.29,2337,185.8,33,50.27
5,0.1,0.9,-10,EDD,Dinamik_N,12.49,1439,211.1,54,58.88
6,0.1,0.9,-10,EDD,Dinamik_N,7.9,910,221.4,94,55.76
7,0.1,0.9,-10,EDD,Dinamik_N,4.69,540,224.6,120,54.17
8,0.1,0.9,-10,EDD,Dinamik_N,3.79,437,225.2,128,53.69
1,0.15,0.9,-10,EDD,Dinamik_N,67.3,7753,72.4,8,12.46
2,0.15,0.9,-10,EDD,Dinamik_N,49.61,5715,112.1,16,25.72
3,0.15,0.9,-10,EDD,Dinamik_N,33.63,3874,151.3,24,39.46
4,0.15,0.9,-10,EDD,Dinamik_N,18.78,2164,188.2,32,48.66
5,0.15,0.9,-10,EDD,Dinamik_N,12.74,1468,210.8,52,54.19
6,0.15,0.9,-10,EDD,Dinamik_N,8.08,931,220.5,92,55.31
7,0.15,0.9,-10,EDD,Dinamik_N,4.12,475,226.1,117,54.68
8,0.15,0.9,-10,EDD,Dinamik_N,3.51,404,225.8,132,54.31
1,0.2,0.9,-10,EDD,Dinamik_N,67.34,7758,72.4,8,12.48
2,0.2,0.9,-10,EDD,Dinamik_N,49.56,5709,112.2,16,25.58
3,0.2,0.9,-10,EDD,Dinamik_N,33.33,3840,151.9,24,39.32
4,0.2,0.9,-10,EDD,Dinamik_N,18.6,2143,188.8,32,48.52
5,0.2,0.9,-10,EDD,Dinamik_N,10.83,1248,213.9,53,57.21
6,0.2,0.9,-10,EDD,Dinamik_N,8.39,967,220.2,91,54.7
7,0.2,0.9,-10,EDD,Dinamik_N,5.01,577,224.7,119,54.85
8,0.2,0.9,-10,EDD,Dinamik_N,2.77,319,227.0,135,53.61
1,0.25,0.9,-10,EDD,Dinamik_N,66.34,7642,79.1,8,13.25
2,0.25,0.9,-10,EDD,Dinamik_N,48.36,5571,122.6,16,26.36
3,0.25,0.9,-10,EDD,Dinamik_N,31.66,3647,163.5,24,37.31
4,0.25,0.9,-10,EDD,Dinamik_N,18.19,2096,201.7,33,51.14
5,0.25,0.9,-10,EDD,Dinamik_N,11.04,1272,224.8,56,53.52
6,0.25,0.9,-10,EDD,Dinamik_N,8.09,932,232.6,94,54.91
7,0.25,0.9,-10,EDD,Dinamik_N,4.34,500,237.2,118,52.5
8,0.25,0.9,-10,EDD,Dinamik_N,3.21,370,238.1,130,53.06
1,0.3,0.9,-10,EDD,Dinamik_N,65.33,7526,85.9,8,13.49
2,0.3,0.9,-10,EDD,Dinamik_N,47.33,5452,130.9,16,26.41
3,0.3,0.9,-10,EDD,Dinamik_N,29.64,3415,176.3,24,37.93
4,0.3,0.9,-10,EDD,Dinamik_N,17.52,2018,214.4,33,50.43
5,0.3,0.9,-10,EDD,Dinamik_N,12.0,1382,236.7,56,51.64
6,0.3,0.9,-10,EDD,Dinamik_N,6.38,735,247.1,96,52.36
7,0.3,0.9,-10,EDD,Dinamik_N,3.11,358,251.1,124,50.89
8,0.3,0.9,-10,EDD,Dinamik_N,2.47,284,251.8,129,51.32
1,0.05,1.0,0,EDD,Dinamik_N,70.46,8117,65.2,8,13.82
2,0.05,1.0,0,EDD,Dinamik_N,54.14,6237,101.7,16,26.7
3,0.05,1.0,0,EDD,Dinamik_N,38.83,4473,137.7,24,39.84
4,0.05,1.0,0,EDD,Dinamik_N,24.33,2803,172.4,32,50.54
5,0.05,1.0,0,EDD,Dinamik_N,15.68,1806,200.8,42,60.94
6,0.05,1.0,0,EDD,Dinamik_N,13.0,1498,211.0,76,63.61
7,0.05,1.0,0,EDD,Dinamik_N,8.3,956,217.4,107,61.22
8,0.05,1.0,0,EDD,Dinamik_N,4.3,495,225.6,142,59.65
1,0.1,1.0,0,EDD,Dinamik_N,70.43,8113,65.3,8,13.01
2,0.1,1.0,0,EDD,Dinamik_N,54.17,6240,101.5,16,26.02
3,0.1,1.0,0,EDD,Dinamik_N,38.69,4457,138.0,24,37.84
4,0.1,1.0,0,EDD,Dinamik_N,24.49,2821,172.4,32,49.65
