dakika,istasyon_id,tuketim_adet
0,S1,0.4031
0,S2,0.2917
0,S3,0.2824
0,S4,0.4349
0,S5,0.1906
0,S6,0.2701
0,S7,0.4605
0,S8,0.2499
0,S9,0.2869
0,S10,0.2032
0,S11,0.242
0,S12,0.2116
0,S13,0.4019
0,S14,0.1852
0,S15,0.1638
0,S16,0.355
0,S17,0.2259
0,S18,0.248
0,S19,0.2728
0,S20,0.1913
0,S21,0.2802
0,S22,0.2865
0,S23,0.2027
0,S24,0.2503
1,S1,0.3267
1,S2,0.3067
1,S3,0.1925
1,S4,0.3584
1,S5,0.176
1,S6,0.2668
1,S7,0.3079
1,S8,0.2969
1,S9,0.3158
1,S10,0.1446
1,S11,0.3105
1,S12,0.1764
1,S13,0.3993
1,S14,0.1824
1,S15,0.1836
1,S16,0.4157
1,S17,0.3252
1,S18,0.2413
1,S19,0.3256
1,S20,0.2506
1,S21,0.1526
1,S22,0.2568
1,S23,0.1816
1,S24,0.424
2,S1,0.3919
2,S2,0.1942
2,S3,0.2662
2,S4,0.3077
2,S5,0.1729
2,S6,0.318
2,S7,0.4222
2,S8,0.257
2,S9,0.2635
2,S10,0.172
2,S11,0.2843
2,S12,0.2789
2,S13,0.3466
2,S14,0.2889
2,S15,0.1947
2,S16,0.3043
2,S17,0.3294
2,S18,0.2966
2,S19,0.3285
2,S20,0.3202
2,S21,0.2323
2,S22,0.2613
2,S23,0.2145
2,S24,0.4577
3,S1,0.364
3,S2,0.3939
3,S3,0.119
3,S4,0.3881
3,S5,0.2035
3,S6,0.2664
3,S7,0.3564
3,S8,0.1305
3,S9,0.3028
3,S10,0.1964
3,S11,0.3455
3,S12,0.2091
3,S13,0.3213
3,S14,0.2699
3,S15,0.2958
3,S16,0.4263
3,S17,0.2533
3,S18,0.2573
3,S19,0.3398
3,S20,0.3183
3,S21,0.1862
3,S22,0.2803
3,S23,0.1843
3,S24,0.2476
4,S1,0.3884
4,S2,0.3157
4,S3,0.2503
4,S4,0.3177
4,S5,0.1434
4,S6,0.2595
4,S7,0.326
4,S8,0.1819
4,S9,0.3065
4,S10,0.1981
4,S11,0.3673
4,S12,0.2415
4,S13,0.4031
4,S14,0.2955
4,S15,0.1541
4,S16,0.3979
4,S17,0.2867
4,S18,0.3483
4,S19,0.3205
4,S20,0.2827
4,S21,0.2152
4,S22,0.2299
4,S23,0.2457
4,S24,0.4026
5,S1,0.4247
5,S2,0.2454
5,S3,0.3201
5,S4,0.2399
5,S5,0.2235
5,S6,0.4075
5,S7,0.2807
5,S8,0.1921
5,S9,0.323
5,S10,0.1649
5,S11,0.184
5,S12,0.2365
5,S13,0.3019
5,S14,0.3284
5,S15,0.204
5,S16,0.524
5,S17,0.2389
5,S18,0.2183
5,S19,0.3876
5,S20,0.201
5,S21,0.2265
5,S22,0.3784
5,S23,0.1357
5,S24,0.3629
6,S1,0.3857
6,S2,0.3469
6,S3,0.1882
6,S4,0.2453
6,S5,0.2209
6,S6,0.3002
6,S7,0.3675
6,S8,0.2317
6,S9,0.2736
6,S10,0.1918
6,S11,0.2823
6,S12,0.2
6,S13,0.5264
6,S14,0.3284
6,S15,0.1904
6,S16,0.4525
6,S17,0.2281
6,S18,0.2701
6,S19,0.4106
6,S20,0.2229
6,S21,0.2584
6,S22,0.3248
6,S23,0.2329
6,S24,0.4828
7,S1,0.3487
7,S2,0.2548
7,S3,0.2055
7,S4,0.2789
7,S5,0.1969
7,S6,0.3027
7,S7,0.3694
7,S8,0.2525
7,S9,0.3175
7,S10,0.2366
7,S11,0.2526
7,S12,0.3603
7,S13,0.4313
7,S14,0.2486
7,S15,0.1965
7,S16,0.4386
7,S17,0.2707
7,S18,0.2667
7,S19,0.3649
7,S20,0.2628
7,S21,0.18
7,S22,0.2091
7,S23,0.1821
7,S24,0.4099
8,S1,0.3824
8,S2,0.2253
8,S3,0.2587
8,S4,0.359
8,S5,0.1646
8,S6,0.292
8,S7,0.3541
8,S8,0.1671
8,S9,0.3393
8,S10,0.2039
8,S11,0.3244
8,S12,0.2825
8,S13,0.2777
8,S14,0.2437
8,S15,0.2758
8,S16,0.4411
8,S17,0.3125
8,S18,0.4131
8,S19,0.3714
8,S20,0.3272
8,S21,0.258
8,S22,0.3391
8,S23,0.1874
8,S24,0.4031
9,S1,0.31
9,S2,0.2858
9,S3,0.2257
9,S4,0.3388
9,S5,0.2926
9,S6,0.1775
9,S7,0.398
9,S8,0.1468
9,S9,0.2868
9,S10,0.2233
9,S11,0.2701
9,S12,0.183
9,S13,0.3285
9,S14,0.3408
9,S15,0.2135
9,S16,0.4173
9,S17,0.2859
9,S18,0.2029
9,S19,0.4763
9,S20,0.3005
9,S21,0.1289
9,S22,0.3112
9,S23,0.1735
9,S24,0.4097
10,S1,0.3085
10,S2,0.2931
10,S3,0.2752
10,S4,0.3911
10,S5,0.152
10,S6,0.2644
10,S7,0.3168
10,S8,0.1884
10,S9,0.4285
10,S10,0.1982
10,S11,0.1994
10,S12,0.2762
10,S13,0.546
10,S14,0.3619
10,S15,0.174
10,S16,0.3613
10,S17,0.3551
10,S18,0.2003
10,S19,0.3629
10,S20,0.308
10,S21,0.1765
10,S22,0.2964
10,S23,0.0703
10,S24,0.2783
11,S1,0.3481
11,S2,0.2251
11,S3,0.3316
11,S4,0.238
11,S5,0.1824
11,S6,0.2907
11,S7,0.4509
11,S8,0.1544
11,S9,0.3903
11,S10,0.1837
11,S11,0.2143
11,S12,0.2549
11,S13,0.3986
11,S14,0.264
11,S15,0.2535
11,S16,0.3692
11,S17,0.2898
11,S18,0.2642
11,S19,0.4391
11,S20,0.2006
11,S21,0.3091
11,S22,0.1829
11,S23,0.1939
11,S24,0.3912
12,S1,0.3873
12,S2,0.2626
12,S3,0.2396
12,S4,0.3005
12,S5,0.1764
12,S6,0.3315
12,S7,0.375
12,S8,0.1866
12,S9,0.3736
12,S10,0.1946
12,S11,0.31
12,S12,0.2627
12,S13,0.3198
12,S14,0.2664
12,S15,0.2874
12,S16,0.4488
12,S17,0.2821
12,S18,0.2388
12,S19,0.4185
12,S20,0.2351
12,S21,0.2404
12,S22,0.2879
12,S23,0.1913
12,S24,0.4269
13,S1,0.4272
13,S2,0.3488
13,S3,0.3153
13,S4,0.3347
13,S5,0.2273
13,S6,0.2658
13,S7,0.3727
13,S8,0.211
13,S9,0.3228
13,S10,0.2052
13,S11,0.223
13,S12,0.331
13,S13,0.3062
13,S14,0.2271
13,S15,0.3079
13,S16,0.4633
13,S17,0.3187
13,S18,0.2627
13,S19,0.3325
13,S20,0.2188
13,S21,0.22
13,S22,0.2594
13,S23,0.239
13,S24,0.3397
14,S1,0.3061
14,S2,0.2807
14,S3,0.2706
14,S4,0.2958
14,S5,0.1671
14,S6,0.2971
14,S7,0.3671
14,S8,0.1947
14,S9,0.2868
14,S10,0.1918
14,S11,0.1894
14,S12,0.1677
14,S13,0.3283
14,S14,0.2872
14,S15,0.2655
14,S16,0.518
14,S17,0.3319
14,S18,0.2259
14,S19,0.3321
14,S20,0.2132
14,S21,0.2159
14,S22,0.2827
14,S23,0.2129
14,S24,0.2921
15,S1,0.4048
15,S2,0.392
15,S3,0.2446
15,S4,0.3601
15,S5,0.2276
15,S6,0.2606
15,S7,0.3657
15,S8,0.2172
15,S9,0.3229
15,S10,0.155
15,S11,0.268
15,S12,0.2566
15,S13,0.4946
15,S14,0.3576
15,S15,0.3577
15,S16,0.3386
15,S17,0.3328
15,S18,0.2419
15,S19,0.4793
15,S20,0.2236
15,S21,0.1803
15,S22,0.264
15,S23,0.115
15,S24,0.3132
16,S1,0.311
16,S2,0.309
16,S3,0.2671
16,S4,0.4584
16,S5,0.238
16,S6,0.2506
16,S7,0.2871
16,S8,0.238
16,S9,0.2331
16,S10,0.2505
16,S11,0.3296
16,S12,0.2114
16,S13,0.252
16,S14,0.3812
16,S15,0.2443
16,S16,0.499
16,S17,0.193
16,S18,0.2054
16,S19,0.3337
16,S20,0.2692
16,S21,0.1972
16,S22,0.3374
16,S23,0.1573
16,S24,0.34
17,S1,0.3755
17,S2,0.3309
17,S3,0.2856
17,S4,0.2584
17,S5,0.1386
17,S6,0.3557
17,S7,0.3733
17,S8,0.1842
17,S9,0.4149
17,S10,0.1876
17,S11,0.3296
17,S12,0.2365
17,S13,0.5413
17,S14,0.4053
17,S15,0.2376
17,S16,0.4777
17,S17,0.3199
17,S18,0.2972
17,S19,0.269
17,S20,0.3033
17,S21,0.2625
17,S22,0.1945
17,S23,0.1527
17,S24,0.2073
18,S1,0.3469
18,S2,0.3431
18,S3,0.3251
18,S4,0.3383
18,S5,0.2651
18,S6,0.2051
18,S7,0.2308
18,S8,0.2143
18,S9,0.341
18,S10,0.1821
18,S11,0.1564
18,S12,0.2292
18,S13,0.2833
18,S14,0.3402
18,S15,0.2683
18,S16,0.3248
18,S17,0.2542
18,S18,0.1839
18,S19,0.3292
18,S20,0.3176
18,S21,0.174
18,S22,0.3302
18,S23,0.1788
18,S24,0.2945
19,S1,0.3588
19,S2,0.2379
19,S3,0.2223
19,S4,0.2535
19,S5,0.2786
19,S6,0.2853
19,S7,0.301
19,S8,0.2259
19,S9,0.3096
19,S10,0.1752
19,S11,0.2994
19,S12,0.2687
19,S13,0.3427
19,S14,0.2655
19,S15,0.2362
19,S16,0.2158
19,S17,0.1975
19,S18,0.2971
19,S19,0.443
19,S20,0.2534
19,S21,0.2417
19,S22,0.3187
19,S23,0.3232
19,S24,0.4284
20,S1,0.3573
20,S2,0.2427
20,S3,0.1697
20,S4,0.3469
20,S5,0.1697
