from_node,to_node,from_label,to_label,mesafe_m,sure_dk
0,1,Depo,S1,90,0.54
0,2,Depo,S2,90,0.54
0,3,Depo,S3,90,0.54
0,4,Depo,S4,90,0.54
0,5,Depo,S5,90,0.54
0,6,Depo,S6,90,0.54
0,7,Depo,S7,120,0.72
0,8,Depo,S8,120,0.72
0,9,Depo,S9,120,0.72
0,10,Depo,S10,120,0.72
0,11,Depo,S11,120,0.72
0,12,Depo,S12,120,0.72
0,13,Depo,S13,180,1.08
0,14,Depo,S14,180,1.08
0,15,Depo,S15,180,1.08
0,16,Depo,S16,180,1.08
0,17,Depo,S17,180,1.08
0,18,Depo,S18,180,1.08
0,19,Depo,S19,250,1.5
0,20,Depo,S20,250,1.5
0,21,Depo,S21,250,1.5
0,22,Depo,S22,250,1.5
0,23,Depo,S23,250,1.5
0,24,Depo,S24,250,1.5
1,0,S1,Depo,90,0.54
1,2,S1,S2,180,1.08
1,3,S1,S3,360,2.16
1,4,S1,S4,540,3.24
1,5,S1,S5,720,4.32
1,6,S1,S6,900,5.4
1,7,S1,S7,278,1.67
1,8,S1,S8,290,1.74
1,9,S1,S9,353,2.12
1,10,S1,S10,270,1.62
1,11,S1,S11,354,2.12
1,12,S1,S12,313,1.88
1,13,S1,S13,394,2.36
1,14,S1,S14,276,1.66
1,15,S1,S15,284,1.7
1,16,S1,S16,313,1.88
1,17,S1,S17,326,1.96
1,18,S1,S18,410,2.46
1,19,S1,S19,394,2.36
1,20,S1,S20,365,2.19
1,21,S1,S21,269,1.61
1,22,S1,S22,277,1.66
1,23,S1,S23,368,2.21
1,24,S1,S24,269,1.61
2,0,S2,Depo,90,0.54
2,1,S2,S1,180,1.08
2,3,S2,S3,180,1.08
2,4,S2,S4,360,2.16
2,5,S2,S5,540,3.24
2,6,S2,S6,720,4.32
2,7,S2,S7,335,2.01
2,8,S2,S8,269,1.61
2,9,S2,S9,393,2.36
2,10,S2,S10,267,1.6
2,11,S2,S11,382,2.29
2,12,S2,S12,290,1.74
2,13,S2,S13,288,1.73
2,14,S2,S14,259,1.55
2,15,S2,S15,277,1.66
2,16,S2,S16,257,1.54
2,17,S2,S17,268,1.61
2,18,S2,S18,306,1.84
2,19,S2,S19,253,1.52
2,20,S2,S20,311,1.87
2,21,S2,S21,342,2.05
2,22,S2,S22,339,2.03
2,23,S2,S23,388,2.33
2,24,S2,S24,331,1.99
3,0,S3,Depo,90,0.54
3,1,S3,S1,360,2.16
3,2,S3,S2,180,1.08
3,4,S3,S4,180,1.08
3,5,S3,S5,360,2.16
3,6,S3,S6,540,3.24
3,7,S3,S7,304,1.82
3,8,S3,S8,383,2.3
3,9,S3,S9,383,2.3
3,10,S3,S10,389,2.33
3,11,S3,S11,327,1.96
3,12,S3,S12,287,1.72
3,13,S3,S13,279,1.67
3,14,S3,S14,405,2.43
3,15,S3,S15,354,2.12
3,16,S3,S16,391,2.35
3,17,S3,S17,301,1.81
3,18,S3,S18,349,2.09
3,19,S3,S19,419,2.51
3,20,S3,S20,371,2.23
3,21,S3,S21,400,2.4
3,22,S3,S22,320,1.92
3,23,S3,S23,415,2.49
3,24,S3,S24,261,1.57
4,0,S4,Depo,90,0.54
4,1,S4,S1,540,3.24
4,2,S4,S2,360,2.16
4,3,S4,S3,180,1.08
4,5,S4,S5,180,1.08
4,6,S4,S6,360,2.16
4,7,S4,S7,394,2.36
4,8,S4,S8,333,2.0
4,9,S4,S9,286,1.72
4,10,S4,S10,400,2.4
4,11,S4,S11,393,2.36
4,12,S4,S12,410,2.46
4,13,S4,S13,361,2.17
4,14,S4,S14,255,1.53
4,15,S4,S15,261,1.57
4,16,S4,S16,314,1.88
4,17,S4,S17,254,1.52
4,18,S4,S18,304,1.82
4,19,S4,S19,300,1.8
4,20,S4,S20,303,1.82
4,21,S4,S21,366,2.2
4,22,S4,S22,293,1.76
4,23,S4,S23,307,1.84
4,24,S4,S24,388,2.33
5,0,S5,Depo,90,0.54
5,1,S5,S1,720,4.32
5,2,S5,S2,540,3.24
5,3,S5,S3,360,2.16
5,4,S5,S4,180,1.08
5,6,S5,S6,180,1.08
5,7,S5,S7,253,1.52
5,8,S5,S8,305,1.83
5,9,S5,S9,378,2.27
5,10,S5,S10,345,2.07
5,11,S5,S11,296,1.78
5,12,S5,S12,269,1.61
5,13,S5,S13,267,1.6
5,14,S5,S14,331,1.99
5,15,S5,S15,334,2.0
5,16,S5,S16,387,2.32
5,17,S5,S17,318,1.91
5,18,S5,S18,253,1.52
5,19,S5,S19,355,2.13
5,20,S5,S20,325,1.95
5,21,S5,S21,370,2.22
5,22,S5,S22,294,1.76
5,23,S5,S23,256,1.54
5,24,S5,S24,355,2.13
6,0,S6,Depo,90,0.54
6,1,S6,S1,900,5.4
6,2,S6,S2,720,4.32
6,3,S6,S3,540,3.24
6,4,S6,S4,360,2.16
6,5,S6,S5,180,1.08
6,7,S6,S7,407,2.44
6,8,S6,S8,370,2.22
6,9,S6,S9,375,2.25
6,10,S6,S10,307,1.84
6,11,S6,S11,302,1.81
6,12,S6,S12,275,1.65
6,13,S6,S13,383,2.3
6,14,S6,S14,393,2.36
6,15,S6,S15,411,2.47
6,16,S6,S16,381,2.29
6,17,S6,S17,377,2.26
6,18,S6,S18,258,1.55
6,19,S6,S19,285,1.71
6,20,S6,S20,387,2.32
6,21,S6,S21,300,1.8
6,22,S6,S22,362,2.17
6,23,S6,S23,369,2.21
6,24,S6,S24,268,1.61
7,0,S7,Depo,120,0.72
7,1,S7,S1,271,1.63
7,2,S7,S2,277,1.66
7,3,S7,S3,409,2.45
7,4,S7,S4,298,1.79
7,5,S7,S5,355,2.13
7,6,S7,S6,329,1.97
7,8,S7,S8,180,1.08
7,9,S7,S9,360,2.16
7,10,S7,S10,540,3.24
7,11,S7,S11,720,4.32
7,12,S7,S12,900,5.4
7,13,S7,S13,416,2.5
