sinyal_id,istasyon_id,hat,sinyal_dk,periyot,stok_o_an,rop_esigi,kritiklik_skoru,tw_baslangic,tw_bitis,tw_genislik_dk,starvation_riski,lt_dk,istenen_kutu,istenen_adet,durum,oncelik_sirasi
S13_001,S13,Hat-3,0,ISINMA (0-45dk),2.576,19.837,0.1299,0,46,46,51.1,45,1,20,TESLİM(VARSAYIM),1
S1_001,S1,Hat-1,2,ISINMA (0-45dk),2.382,18.975,0.1255,2,48,46,53.5,45,1,20,TESLİM(VARSAYIM),1
S7_001,S7,Hat-2,5,ISINMA (0-45dk),1.772,18.112,0.0978,5,50,45,56.0,45,1,20,TESLİM(VARSAYIM),1
S24_001,S24,Hat-4,5,ISINMA (0-45dk),2.582,18.112,0.1425,5,51,46,56.0,45,1,20,TESLİM(VARSAYIM),2
S19_001,S19,Hat-4,7,ISINMA (0-45dk),2.093,17.25,0.1213,7,53,46,58.7,45,1,20,TESLİM(VARSAYIM),1
S3_001,S3,Hat-1,8,ISINMA (0-45dk),1.561,12.937,0.1207,8,54,46,59.7,45,1,15,TESLİM(VARSAYIM),2
S4_001,S4,Hat-1,8,ISINMA (0-45dk),1.979,17.25,0.1147,8,54,46,59.2,45,1,20,TESLİM(VARSAYIM),1
S15_001,S15,Hat-3,9,ISINMA (0-45dk),1.687,12.937,0.1304,9,55,46,60.7,45,1,15,TESLİM(VARSAYIM),1
S18_001,S18,Hat-3,10,ISINMA (0-45dk),1.595,12.075,0.1321,10,56,46,61.6,45,1,15,TESLİM(VARSAYIM),1
S9_001,S9,Hat-2,11,ISINMA (0-45dk),2.438,16.387,0.1488,11,57,46,62.0,45,1,20,TESLİM(VARSAYIM),2
S12_001,S12,Hat-2,12,ISINMA (0-45dk),1.427,12.075,0.1181,12,57,45,62.7,45,1,15,TESLİM(VARSAYIM),1
S2_001,S2,Hat-1,15,ISINMA (0-45dk),2.488,15.525,0.1603,15,61,46,66.1,45,1,20,TESLİM(VARSAYIM),2
