Senaryo,Durus_dk,Starv_11520,Starv_10440,Ort_WIP,Mesafe_km,Tur_Sayisi
Baz Senaryo,2832,24.583333333333332,27.126436781609197,182.3,48.487,32
+20% Talep Şoku,3898,33.83680555555556,37.337164750957854,155.5,49.135,32
-20% Talep Düşüşü,1397,12.12673611111111,13.381226053639846,221.6,46.917,33
Filo: 4 Araç,2832,24.583333333333332,27.126436781609197,182.3,48.487,32
Filo: 3 Araç,4254,36.927083333333336,40.74712643678161,148.5,38.447,24
Filo: 2 Araç,6107,53.01215277777778,58.496168582375475,111.1,26.972,16
Filo: 1 Araç,8006,69.49652777777777,76.68582375478927,71.5,13.877,8
Hız Düşüşü,4171,36.20659722222222,39.952107279693486,151.3,36.391,24
Alpha 0.05 (Sabit N),2774,24.07986111111111,26.57088122605364,182.5,49.446,32
Alpha 0.30 (Sabit N),2523,21.901041666666668,24.166666666666668,187.4,50.097,31
Alpha 0.05 (Dinamik N),2917,25.321180555555557,27.94061302681992,173.1,49.722,32
Alpha 0.15 (Dinamik N),2832,24.583333333333332,27.126436781609197,182.3,48.487,32
Alpha 0.30 (Dinamik N),2062,17.899305555555557,19.75095785440613,238.3,48.512,32
S16 Darboğaz Krizi,2924,25.381944444444443,28.007662835249043,178.6,49.385,32
