arac_sayisi,dispatch_kural,zamaninda,gecikmeli,karsilanamayan,karsilama_pct,starvation_dk,starvation_pct,toplam_tur,ort_kutu_tur,doluluk_pct,replikasyon,seed
2,KRITIKLIK,17,55,110,39.56,6485,62.1169,16,4.62,18.5,1,100
2,EDD,8,64,110,39.56,6394,61.2452,16,4.62,18.5,1,100
2,SLACK,8,64,110,39.56,6405,61.3506,16,4.62,18.5,1,100
2,FIFO,8,64,110,39.56,6395,61.2548,16,4.62,18.5,1,100
4,KRITIKLIK,51,92,39,78.57,2944,28.1992,32,4.56,18.2,1,100
4,EDD,28,115,39,78.57,2796,26.7816,32,4.59,18.4,1,100
4,SLACK,28,115,39,78.57,2798,26.8008,32,4.59,18.4,1,100
4,FIFO,28,115,39,78.57,2793,26.7529,32,4.59,18.4,1,100
2,KRITIKLIK,17,55,110,39.56,6407,61.3697,16,4.62,18.5,2,101
2,EDD,8,64,110,39.56,6347,60.795,16,4.62,18.5,2,101
2,SLACK,8,64,110,39.56,6345,60.7759,16,4.62,18.5,2,101
2,FIFO,8,64,110,39.56,6346,60.7854,16,4.62,18.5,2,101
4,KRITIKLIK,51,92,39,78.57,2875,27.5383,32,4.56,18.2,2,101
4,EDD,28,115,39,78.57,2752,26.3602,32,4.59,18.4,2,101
4,SLACK,28,115,39,78.57,2755,26.3889,32,4.59,18.4,2,101
4,FIFO,28,115,39,78.57,2755,26.3889,32,4.59,18.4,2,101
2,KRITIKLIK,17,55,110,39.56,6429,61.5805,16,4.62,18.5,3,102
2,EDD,8,64,110,39.56,6347,60.795,16,4.62,18.5,3,102
2,SLACK,8,64,110,39.56,6346,60.7854,16,4.62,18.5,3,102
2,FIFO,8,64,110,39.56,6347,60.795,16,4.62,18.5,3,102
4,KRITIKLIK,51,92,39,78.57,2903,27.8065,32,4.56,18.2,3,102
4,EDD,28,115,39,78.57,2751,26.3506,32,4.59,18.4,3,102
4,SLACK,28,115,39,78.57,2742,26.2644,32,4.59,18.4,3,102
4,FIFO,28,115,39,78.57,2750,26.341,32,4.59,18.4,3,102
2,KRITIKLIK,17,55,110,39.56,6450,61.7816,16,4.62,18.5,4,103
2,EDD,8,64,110,39.56,6368,60.9962,16,4.62,18.5,4,103
2,SLACK,8,64,110,39.56,6367,60.9866,16,4.62,18.5,4,103
2,FIFO,8,64,110,39.56,6368,60.9962,16,4.62,18.5,4,103
4,KRITIKLIK,51,92,39,78.57,2891,27.6916,32,4.56,18.2,4,103
4,EDD,28,115,39,78.57,2739,26.2356,32,4.59,18.4,4,103
4,SLACK,28,115,39,78.57,2739,26.2356,32,4.59,18.4,4,103
4,FIFO,28,115,39,78.57,2740,26.2452,32,4.59,18.4,4,103
2,KRITIKLIK,17,55,110,39.56,6431,61.5996,16,4.62,18.5,5,104
2,EDD,8,64,110,39.56,6347,60.795,16,4.62,18.5,5,104
2,SLACK,8,64,110,39.56,6338,60.7088,16,4.62,18.5,5,104
2,FIFO,8,64,110,39.56,6345,60.7759,16,4.62,18.5,5,104
4,KRITIKLIK,51,92,39,78.57,2882,27.6054,32,4.56,18.2,5,104
4,EDD,28,115,39,78.57,2739,26.2356,32,4.59,18.4,5,104
4,SLACK,28,115,39,78.57,2743,26.2739,32,4.59,18.4,5,104
4,FIFO,28,115,39,78.57,2739,26.2356,32,4.59,18.4,5,104
2,KRITIKLIK,17,55,110,39.56,6446,61.7433,16,4.62,18.5,6,105
2,EDD,8,64,110,39.56,6372,61.0345,16,4.62,18.5,6,105
2,SLACK,8,64,110,39.56,6371,61.0249,16,4.62,18.5,6,105
2,FIFO,8,64,110,39.56,6372,61.0345,16,4.62,18.5,6,105
4,KRITIKLIK,51,92,39,78.57,2910,27.8736,32,4.56,18.2,6,105
4,EDD,28,115,39,78.57,2771,26.5421,32,4.59,18.4,6,105
4,SLACK,28,115,39,78.57,2778,26.6092,32,4.59,18.4,6,105
4,FIFO,28,115,39,78.57,2770,26.5326,32,4.59,18.4,6,105
2,KRITIKLIK,17,55,110,39.56,6428,61.5709,16,4.62,18.5,7,106
2,EDD,8,64,110,39.56,6392,61.2261,16,4.62,18.5,7,106
