politika,arac_sayisi,starv_dk,starv_pct_11520,starv_pct_10440,ort_wip,mesafe_km,toplam_tur
Statik (45 dk Sefer),2,172,1.4930555555555556,1.6475095785440614,289.3,49.36,20
Statik (60 dk Sefer),2,628,5.451388888888889,6.015325670498084,226.7,34.55,14
Statik (80 dk Sefer),2,2460,21.354166666666664,23.563218390804597,175.2,24.68,10
Statik (90 dk Sefer),2,3456,30.0,33.10344827586207,155.8,24.68,10
Statik (120 dk Sefer),2,5246,45.53819444444444,50.24904214559387,119.1,14.81,6
Dinamik E-Kanban (Olay Bazlı EDD),2,6107,53.01215277777778,58.496168582375475,111.1,26.97,16
Statik (45 dk Sefer),4,18,0.15625,0.1724137931034483,296.8,48.8,40
Statik (60 dk Sefer),4,350,3.038194444444444,3.3524904214559386,231.4,34.16,28
Statik (80 dk Sefer),4,2225,19.31423611111111,21.312260536398465,177.0,24.4,20
Statik (90 dk Sefer),4,3226,28.00347222222222,30.90038314176245,162.8,24.4,20
Statik (120 dk Sefer),4,5239,45.47743055555556,50.18199233716475,119.0,14.64,12
Dinamik E-Kanban (Olay Bazlı EDD),4,2832,24.583333333333332,27.126436781609197,182.3,48.49,32
