istasyon_id,hat,baslangic_kutu,baslangic_stok_adet,kutu_kapasitesi,kanban_n,reorder_point_kutu
S1,Hat-1,1,20,20,1,1
S2,Hat-1,1,20,20,1,1
S3,Hat-1,1,15,15,1,1
S4,Hat-1,1,20,20,1,1
S5,Hat-1,1,15,15,1,1
S6,Hat-1,1,20,20,1,1
S7,Hat-2,1,20,20,1,1
S8,Hat-2,1,15,15,1,1
S9,Hat-2,1,20,20,1,1
S10,Hat-2,1,15,15,1,1
S11,Hat-2,1,20,20,1,1
S12,Hat-2,1,15,15,1,1
S13,Hat-3,1,20,20,1,1
S14,Hat-3,1,20,20,1,1
S15,Hat-3,1,15,15,1,1
S16,Hat-3,2,40,20,2,1
S17,Hat-3,1,20,20,1,1
S18,Hat-3,1,15,15,1,1
S19,Hat-4,1,20,20,1,1
S20,Hat-4,1,20,20,1,1
S21,Hat-4,1,15,15,1,1
S22,Hat-4,1,20,20,1,1
S23,Hat-4,1,15,15,1,1
S24,Hat-4,1,20,20,1,1
