istasyon_id,hat,D_saat,D_dk,LT_dk,alpha,C,D_dk * LT,guvenlik_stok,toplam_ihtiyac,N,toplam_stok_adet
S1,Hat-1,22,0.3667,45,0.15,20,16.5,2.48,18.97,1,20
S2,Hat-1,18,0.3,45,0.15,20,13.5,2.02,15.52,1,20
S3,Hat-1,15,0.25,45,0.15,15,11.25,1.69,12.94,1,15
S4,Hat-1,20,0.3333,45,0.15,20,15.0,2.25,17.25,1,20
S5,Hat-1,12,0.2,45,0.15,15,9.0,1.35,10.35,1,15
S6,Hat-1,17,0.2833,45,0.15,20,12.75,1.91,14.66,1,20
S7,Hat-2,21,0.35,45,0.15,20,15.75,2.36,18.11,1,20
S8,Hat-2,13,0.2167,45,0.15,15,9.75,1.46,11.21,1,15
S9,Hat-2,19,0.3167,45,0.15,20,14.25,2.14,16.39,1,20
S10,Hat-2,11,0.1833,45,0.15,15,8.25,1.24,9.49,1,15
S11,Hat-2,16,0.2667,45,0.15,20,12.0,1.8,13.8,1,20
S12,Hat-2,14,0.2333,45,0.15,15,10.5,1.57,12.07,1,15
S13,Hat-3,23,0.3833,45,0.15,20,17.25,2.59,19.84,1,20
S14,Hat-3,18,0.3,45,0.15,20,13.5,2.02,15.52,1,20
S15,Hat-3,15,0.25,45,0.15,15,11.25,1.69,12.94,1,15
S16,Hat-3,24,0.4,45,0.15,20,18.0,2.7,20.7,2,40
S17,Hat-3,17,0.2833,45,0.15,20,12.75,1.91,14.66,1,20
S18,Hat-3,14,0.2333,45,0.15,15,10.5,1.57,12.07,1,15
S19,Hat-4,20,0.3333,45,0.15,20,15.0,2.25,17.25,1,20
S20,Hat-4,16,0.2667,45,0.15,20,12.0,1.8,13.8,1,20
S21,Hat-4,13,0.2167,45,0.15,15,9.75,1.46,11.21,1,15
S22,Hat-4,18,0.3,45,0.15,20,13.5,2.02,15.52,1,20
S23,Hat-4,12,0.2,45,0.15,15,9.0,1.35,10.35,1,15
S24,Hat-4,21,0.35,45,0.15,20,15.75,2.36,18.11,1,20
