rota_id,arac_id,tur_no,sinyal_id,istasyon_id,hat,istenen_kutu,tw_baslangic,tw_bitis,varis_dk,cikis_dk,teslim_durumu,gercek_gecikme_dk
ROTA_001,A1,1,S13_001,S13,Hat-3,1,0,46.0,7.0,15.0,ZAMANINDA_TESLİM,0.0
ROTA_002,A2,1,S1_001,S1,Hat-1,1,2,48.0,9.0,17.0,ZAMANINDA_TESLİM,0.0
ROTA_003,A1,2,S7_001,S7,Hat-2,1,5,50.0,27.0,35.0,ZAMANINDA_TESLİM,0.0
ROTA_003,A1,2,S6_001,S6,Hat-1,1,18,64.0,40.0,48.0,ZAMANINDA_TESLİM,0.0
ROTA_003,A1,2,S4_001,S4,Hat-1,1,8,54.0,53.0,61.0,ZAMANINDA_TESLİM,0.0
ROTA_003,A1,2,S12_001,S12,Hat-2,1,12,57.0,66.0,74.0,GECİKMELİ_TESLİM,9.0
ROTA_003,A1,2,S3_001,S3,Hat-1,1,8,54.0,79.0,87.0,GECİKMELİ_TESLİM,25.0
ROTA_004,A2,2,S19_001,S19,Hat-4,1,7,53.0,29.0,37.0,ZAMANINDA_TESLİM,0.0
ROTA_004,A2,2,S15_001,S15,Hat-3,1,9,55.0,42.0,50.0,ZAMANINDA_TESLİM,0.0
ROTA_004,A2,2,S21_001,S21,Hat-4,1,17,63.0,55.0,63.0,ZAMANINDA_TESLİM,0.0
ROTA_004,A2,2,S18_001,S18,Hat-3,1,10,56.0,68.0,76.0,GECİKMELİ_TESLİM,12.0
ROTA_004,A2,2,S17_001,S17,Hat-3,1,18,64.0,81.0,89.0,GECİKMELİ_TESLİM,17.0
ROTA_005,A1,3,S18_002,S18,Hat-3,1,73,119.0,99.0,107.0,ZAMANINDA_TESLİM,0.0
ROTA_005,A1,3,S20_001,S20,Hat-4,1,23,69.0,112.0,120.0,GECİKMELİ_TESLİM,43.0
ROTA_005,A1,3,S16_001,S16,Hat-3,2,47,92.0,125.0,133.0,GECİKMELİ_TESLİM,33.0
ROTA_005,A1,3,S8_002,S8,Hat-2,1,89,134.0,138.0,146.0,GECİKMELİ_TESLİM,4.0
ROTA_005,A1,3,S6_002,S6,Hat-1,1,86,132.0,151.0,159.0,GECİKMELİ_TESLİM,19.0
ROTA_006,A2,3,S23_001,S23,Hat-4,1,24,70.0,101.0,109.0,GECİKMELİ_TESLİM,31.0
ROTA_006,A2,3,S24_002,S24,Hat-4,1,63,109.0,114.0,122.0,GECİKMELİ_TESLİM,5.0
ROTA_006,A2,3,S9_002,S9,Hat-2,1,74,120.0,127.0,135.0,GECİKMELİ_TESLİM,7.0
ROTA_006,A2,3,S10_001,S10,Hat-2,1,28,74.0,140.0,148.0,GECİKMELİ_TESLİM,66.0
ROTA_006,A2,3,S2_002,S2,Hat-1,1,82,127.0,153.0,161.0,GECİKMELİ_TESLİM,26.0
ROTA_007,A1,4,S24_003,S24,Hat-4,1,120,166.0,171.0,179.0,GECİKMELİ_TESLİM,5.0
ROTA_007,A1,4,S15_003,S15,Hat-3,1,128,173.0,184.0,192.0,GECİKMELİ_TESLİM,11.0
ROTA_007,A1,4,S13_004,S13,Hat-3,1,154,199.0,197.0,205.0,ZAMANINDA_TESLİM,0.0
ROTA_007,A1,4,S13_003,S13,Hat-3,1,103,149.0,205.0,213.0,GECİKMELİ_TESLİM,56.0
ROTA_007,A1,4,S5_002,S5,Hat-1,1,98,144.0,218.0,226.0,GECİKMELİ_TESLİM,74.0
ROTA_008,A2,4,S7_003,S7,Hat-2,1,117,163.0,173.0,181.0,GECİKMELİ_TESLİM,10.0
ROTA_008,A2,4,S23_002,S23,Hat-4,1,98,144.0,186.0,194.0,GECİKMELİ_TESLİM,42.0
ROTA_008,A2,4,S19_002,S19,Hat-4,1,65,111.0,199.0,207.0,GECİKMELİ_TESLİM,88.0
ROTA_008,A2,4,S13_002,S13,Hat-3,1,51,96.0,212.0,220.0,GECİKMELİ_TESLİM,116.0
ROTA_008,A2,4,S17_003,S17,Hat-3,1,161,207.0,225.0,233.0,GECİKMELİ_TESLİM,18.0
ROTA_009,A1,5,S24_004,S24,Hat-4,1,174,219.0,238.0,246.0,GECİKMELİ_TESLİM,19.0
