istasyon_id,hat,sira_no,ort_tuketim_saat,std_tuketim_saat,ort_tuketim_dk,kutu_kapasitesi,kanban_n,baslangic_kutu,baslangic_stok_adet,reorder_point_kutu
S1,Hat-1,1,22,4.4,0.3667,20,1,1,20,1
S2,Hat-1,2,18,3.6,0.3,20,1,1,20,1
S3,Hat-1,3,15,3.0,0.25,15,1,1,15,1
S4,Hat-1,4,20,4.0,0.3333,20,1,1,20,1
S5,Hat-1,5,12,2.4,0.2,15,1,1,15,1
S6,Hat-1,6,17,3.4,0.2833,20,1,1,20,1
S7,Hat-2,7,21,4.2,0.35,20,1,1,20,1
S8,Hat-2,8,13,2.6,0.2167,15,1,1,15,1
S9,Hat-2,9,19,3.8,0.3167,20,1,1,20,1
S10,Hat-2,10,11,2.2,0.1833,15,1,1,15,1
S11,Hat-2,11,16,3.2,0.2667,20,1,1,20,1
S12,Hat-2,12,14,2.8,0.2333,15,1,1,15,1
S13,Hat-3,13,23,4.6,0.3833,20,1,1,20,1
S14,Hat-3,14,18,3.6,0.3,20,1,1,20,1
S15,Hat-3,15,15,3.0,0.25,15,1,1,15,1
S16,Hat-3,16,24,4.8,0.4,20,2,2,40,1
S17,Hat-3,17,17,3.4,0.2833,20,1,1,20,1
S18,Hat-3,18,14,2.8,0.2333,15,1,1,15,1
S19,Hat-4,19,20,4.0,0.3333,20,1,1,20,1
S20,Hat-4,20,16,3.2,0.2667,20,1,1,20,1
S21,Hat-4,21,13,2.6,0.2167,15,1,1,15,1
S22,Hat-4,22,18,3.6,0.3,20,1,1,20,1
S23,Hat-4,23,12,2.4,0.2,15,1,1,15,1
S24,Hat-4,24,21,4.2,0.35,20,1,1,20,1
